index,I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
1013,-15,-47,-32,31,8,-39,-2,-22,-56,-40,-157,-11
1014,-17,-49,-32,33,7,-40,2,-17,-52,-41,-159,-13
1015,-20,-52,-32,36,6,-42,9,-9,-45,-40,-163,-18
1016,-22,-55,-33,38,5,-44,20,4,-34,-39,-168,-24
1017,-25,-58,-33,41,4,-45,33,21,-18,-35,-172,-31
1018,-28,-60,-32,44,2,-46,48,42,3,-29,-175,-37
1019,-31,-61,-30,46,0,-45,65,66,29,-20,-176,-43
1020,-32,-60,-28,46,-2,-44,83,93,59,-5,-172,-45
1021,-28,-58,-30,43,1,-44,100,124,94,15,-164,-42
1022,-20,-49,-29,34,4,-39,114,156,134,42,-146,-33
1023,-8,-29,-21,18,6,-25,120,183,175,77,-117,-14
1024,10,1,-9,-5,9,-4,117,199,210,119,-76,19
1025,32,40,8,-36,12,24,104,205,238,166,-25,62
1026,59,87,28,-73,15,57,82,201,257,216,34,113
1027,88,144,56,-116,16,100,51,183,265,267,101,172
1028,117,212,95,-164,11,153,8,147,258,316,171,238
1029,146,284,138,-215,4,211,-44,92,233,358,240,306
1030,169,351,182,-260,-6,266,-103,21,188,389,300,368
1031,184,406,222,-295,-19,314,-160,-58,128,405,346,418
1032,192,443,251,-317,-29,347,-213,-137,61,407,371,450
1033,193,462,269,-327,-38,365,-259,-213,-9,392,375,464
1034,187,463,276,-325,-44,369,-300,-284,-83,361,359,460
1035,174,444,270,-309,-48,357,-331,-348,-159,314,320,437
1036,153,403,250,-278,-48,326,-349,-396,-227,253,260,393
1037,127,347,220,-237,-46,283,-352,-422,-281,185,186,334
1038,99,283,184,-191,-42,233,-344,-432,-324,112,104,267
1039,74,219,145,-146,-35,182,-329,-429,-357,36,21,200
1040,50,159,109,-104,-29,134,-309,-415,-381,-38,-57,137
1041,29,106,77,-67,-24,91,-283,-390,-393,-102,-124,80
1042,10,62,52,-36,-21,57,-251,-355,-390,-150,-178,33
1043,-5,26,31,-10,-18,28,-217,-313,-373,-182,-217,-4
1044,-14,1,15,6,-14,8,-184,-270,-347,-199,-240,-29
1045,-20,-16,4,18,-12,-6,-155,-228,-316,-204,-249,-42
1046,-21,-24,-3,22,-9,-13,-128,-187,-279,-195,-246,-46
1047,-20,-29,-9,24,-5,-19,-103,-146,-234,-172,-235,-46
1048,-17,-32,-15,24,-1,-23,-79,-107,-186,-140,-219,-42
1049,-15,-34,-19,24,2,-26,-59,-74,-141,-108,-201,-37
1050,-12,-35,-23,23,5,-29,-43,-48,-103,-80,-184,-31
1051,-9,-35,-26,22,8,-30,-31,-28,-71,-56,-170,-25
1052,-7,-35,-28,21,10,-31,-19,-10,-44,-36,-158,-20
1053,-6,-36,-30,21,12,-33,-8,4,-24,-20,-150,-18
1054,-5,-38,-33,21,14,-35,2,14,-9,-9,-145,-16
1055,-6,-40,-34,23,14,-37,10,21,1,-2,-141,-15
1056,-7,-43,-36,25,14,-39,16,26,6,0,-140,-15
1057,-7,-45,-38,26,15,-41,21,29,9,0,-140,-16
1058,-8,-47,-39,27,15,-43,25,32,11,-1,-140,-16
1059,-9,-49,-40,29,15,-44,28,35,12,-1,-141,-17
1060,-9,-51,-42,30,16,-46,30,37,13,-2,-142,-18
1061,-10,-53,-43,31,16,-48,32,38,14,-2,-142,-19
1062,-9,-53,-44,31,17,-48,33,39,15,-2,-142,-19
1063,-9,-54,-45,31,18,-49,34,41,17,-1,-142,-19
1064,-10,-54,-44,32,17,-49,34,42,18,-1,-142,-20
1065,-10,-53,-43,31,16,-48,35,43,20,0,-142,-20
1066,-9,-54,-45,31,18,-49,35,45,22,1,-140,-19
1067,-9,-54,-45,31,18,-49,37,46,24,2,-139,-19
1068,-9,-53,-44,31,17,-48,38,47,26,3,-139,-18
1069,-9,-53,-44,31,17,-48,38,49,27,4,-137,-18
1070,-9,-53,-44,31,17,-48,39,50,29,6,-136,-17
1071,-10,-54,-44,32,17,-49,39,51,30,6,-136,-18
1072,-9,-55,-46,32,18,-50,40,52,32,8,-134,-17
1073,-9,-55,-46,32,18,-50,41,54,33,9,-133,-16
1074,-9,-56,-47,32,19,-51,41,54,34,11,-131,-16
1075,-9,-55,-46,32,18,-50,42,55,36,12,-131,-15
1076,-8,-55,-47,31,19,-51,42,57,37,13,-129,-15
1077,-7,-54,-47,30,20,-50,43,57,39,15,-129,-15
1078,-7,-54,-47,30,20,-50,43,57,39,16,-128,-14
1079,-7,-52,-45,29,19,-48,42,58,40,16,-128,-15
1080,-6,-51,-45,28,19,-48,43,58,42,17,-127,-15
1081,-6,-50,-44,28,19,-47,42,59,42,18,-126,-14
1082,-6,-50,-44,28,19,-47,42,59,43,19,-126,-14
1083,-6,-50,-44,28,19,-47,43,60,45,21,-125,-14
1084,-5,-49,-44,27,19,-46,43,60,46,22,-123,-13
1085,-5,-50,-45,27,20,-47,44,61,48,23,-123,-13
1086,-6,-50,-44,28,19,-47,44,63,49,25,-121,-12
1087,-5,-49,-44,27,19,-46,44,64,51,28,-120,-11
1088,-4,-48,-44,26,20,-46,45,66,53,29,-118,-11
1089,-4,-48,-44,26,20,-46,45,66,54,30,-118,-10
1090,-3,-47,-44,25,20,-45,45,67,56,32,-117,-9
1091,-3,-46,-43,24,20,-44,46,67,57,33,-115,-9
1092,-3,-44,-41,23,19,-42,46,69,58,35,-115,-8
1093,-1,-43,-42,22,20,-42,45,70,60,36,-114,-8
1094,-1,-42,-41,21,20,-41,45,70,61,36,-112,-7
1095,-1,-42,-41,21,20,-41,46,71,63,38,-112,-7
1096,0,-41,-41,20,20,-41,46,71,64,39,-111,-7
1097,0,-42,-42,21,21,-42,46,72,65,39,-109,-6
1098,1,-41,-42,20,21,-41,47,74,67,41,-108,-6
1099,1,-41,-42,20,21,-41,47,75,68,42,-106,-5
1100,1,-42,-43,20,22,-42,47,75,71,44,-106,-4
1101,1,-41,-42,20,21,-41,48,76,72,44,-104,-4
1102,1,-41,-42,20,21,-41,48,78,74,46,-104,-3
1103,1,-40,-41,19,21,-40,49,79,75,48,-103,-3
1104,2,-40,-42,19,22,-41,48,81,77,49,-101,-2
1105,2,-40,-42,19,22,-41,49,82,78,51,-100,-2
1106,3,-39,-42,18,22,-40,49,83,80,52,-99,-1
1107,4,-37,-41,16,22,-39,48,83,81,53,-99,-2
1108,4,-36,-40,16,22,-38,48,84,83,55,-97,-1
1109,5,-35,-40,15,22,-37,48,85,85,56,-96,0
1110,6,-34,-40,14,23,-37,48,87,86,58,-94,0
1111,6,-33,-39,13,22,-36,48,88,88,60,-92,1
1112,7,-31,-38,12,22,-34,48,89,89,61,-90,1
1113,8,-30,-38,11,23,-34,48,90,92,63,-87,2
1114,8,-28,-36,10,22,-32,49,92,94,66,-85,4
1115,9,-28,-37,9,23,-32,49,93,97,67,-82,4
1116,10,-27,-37,8,23,-32,50,95,99,69,-79,5
1117,11,-27,-38,8,24,-32,51,98,102,72,-75,7
1118,12,-26,-38,7,25,-32,51,99,105,74,-73,7
1119,12,-27,-39,7,25,-33,51,101,107,75,-71,8
1120,12,-27,-39,7,25,-33,52,104,110,78,-68,10
1121,13,-26,-39,6,26,-32,52,105,112,80,-66,11
1122,14,-25,-39,5,26,-32,53,108,115,81,-64,11
1123,14,-23,-37,4,25,-30,52,110,117,84,-62,12
1124,15,-21,-36,3,25,-28,52,111,120,86,-61,14
1125,15,-20,-35,2,25,-27,51,113,123,87,-58,15
1126,16,-18,-34,1,25,-26,52,115,125,89,-57,15
1127,17,-16,-33,0,25,-24,52,118,128,92,-55,16
1128,19,-14,-33,-2,26,-23,51,120,130,94,-54,18
1129,20,-12,-32,-4,26,-22,51,121,133,96,-52,18
1130,20,-12,-32,-4,26,-22,52,123,137,98,-51,19
1131,22,-12,-34,-5,28,-23,52,125,140,102,-49,21
1132,23,-10,-33,-6,28,-21,53,127,142,104,-46,22
1133,23,-9,-32,-7,27,-20,53,130,145,107,-45,24
1134,24,-8,-32,-8,28,-20,53,132,149,109,-42,24
1135,24,-7,-31,-8,27,-19,54,135,152,113,-40,25
1136,25,-6,-31,-9,28,-18,54,136,156,116,-37,27
1137,27,-4,-31,-11,29,-17,53,139,159,118,-34,28
1138,28,-2,-30,-13,29,-16,54,141,162,122,-32,30
1139,28,-1,-29,-13,28,-15,54,143,164,124,-29,31
1140,29,2,-27,-15,28,-12,53,144,167,127,-27,32
1141,31,4,-27,-17,29,-11,54,147,169,129,-24,34
1142,32,5,-27,-18,29,-11,54,149,173,133,-21,36
1143,34,7,-27,-20,30,-10,53,150,176,136,-19,37
1144,35,10,-25,-22,30,-7,53,150,178,138,-16,39
1145,36,11,-25,-23,30,-7,54,152,179,141,-13,40
1146,37,13,-24,-25,30,-5,53,153,182,144,-11,42
1147,38,14,-24,-26,31,-5,53,155,184,146,-8,45
1148,39,17,-22,-28,30,-2,51,155,185,149,-5,47
1149,41,19,-22,-30,31,-1,51,156,187,151,-3,50
1150,42,21,-21,-31,31,0,50,156,188,154,0,51
1151,43,23,-20,-33,31,1,48,157,188,156,2,54
1152,44,24,-20,-34,32,2,48,157,190,157,6,56
1153,45,27,-18,-36,31,4,46,157,191,160,8,59
1154,47,29,-18,-38,32,5,45,156,191,161,11,61
1155,48,32,-16,-40,32,8,42,156,191,163,12,62
1156,48,34,-14,-41,31,10,41,154,190,163,14,64
1157,49,37,-12,-43,30,12,39,154,190,165,17,65
1158,50,39,-11,-44,30,14,38,153,190,167,19,67
1159,51,41,-10,-46,30,15,36,151,189,168,20,69
1160,51,43,-8,-47,29,17,33,150,188,167,22,69
1161,51,45,-6,-48,28,19,31,148,187,168,23,71
1162,52,46,-6,-49,29,20,30,146,186,169,25,73
1163,52,47,-5,-49,28,21,28,145,184,169,27,74
1164,54,47,-7,-50,30,20,27,143,183,170,28,76
1165,54,49,-5,-51,29,22,25,142,181,170,30,77
1166,55,50,-5,-52,30,22,24,139,179,169,31,79
1167,55,52,-3,-53,29,24,21,137,177,169,31,80
1168,57,53,-4,-55,30,24,20,134,174,168,33,81
1169,57,55,-2,-56,29,26,18,132,172,167,33,83
1170,58,57,-1,-57,29,28,17,129,168,167,34,83
1171,57,58,1,-57,28,29,14,125,165,165,33,83
1172,58,60,2,-59,28,31,12,122,161,162,34,84
1173,57,60,3,-58,27,31,11,118,157,161,34,84
1174,57,61,4,-59,26,32,8,113,152,159,33,84
1175,56,61,5,-58,25,33,7,109,148,156,33,84
1176,56,60,4,-58,26,32,5,104,143,154,32,83
1177,55,60,5,-57,25,32,4,99,138,151,32,84
1178,54,59,5,-56,24,32,1,95,132,147,31,84
1179,54,58,4,-56,25,31,0,90,127,144,29,83
1180,53,57,4,-55,24,30,-2,86,121,142,29,84
1181,53,56,3,-54,25,29,-2,81,116,139,27,83
1182,53,55,2,-54,25,28,-4,75,110,134,26,83
1183,51,53,2,-52,24,27,-5,71,103,130,24,82
1184,50,52,2,-51,24,27,-5,66,97,125,21,80
1185,50,52,2,-51,24,27,-7,60,90,120,18,79
1186,48,50,2,-49,23,26,-8,55,84,115,15,77
1187,47,49,2,-48,22,25,-8,51,77,109,11,74
1188,45,47,2,-46,21,24,-10,45,69,104,8,72
1189,42,45,3,-43,19,24,-11,40,62,97,4,68
1190,40,42,2,-41,19,22,-11,35,56,92,-1,66
1191,39,40,1,-39,19,20,-12,30,49,87,-5,63
1192,37,37,0,-37,18,18,-11,27,43,81,-8,61
1193,35,33,-2,-34,18,15,-11,23,37,76,-12,58
1194,32,30,-2,-31,17,14,-12,19,32,70,-15,54
1195,30,26,-4,-28,17,11,-11,16,26,65,-19,51
1196,28,22,-6,-25,17,8,-11,13,20,60,-24,47
1197,25,19,-6,-22,15,6,-9,11,16,54,-28,45
1198,23,15,-8,-19,15,3,-8,8,11,49,-31,41
1199,21,11,-10,-16,15,0,-8,6,7,45,-36,38
1200,18,9,-9,-13,13,0,-7,3,1,39,-40,33
1201,16,7,-9,-11,12,-1,-7,1,-3,34,-46,30
1202,14,4,-10,-9,12,-3,-6,-1,-8,28,-50,26
1203,11,2,-9,-6,10,-3,-5,-3,-12,24,-55,21
1204,9,0,-9,-4,9,-4,-5,-4,-15,18,-59,18
1205,7,-2,-9,-2,8,-5,-4,-6,-19,14,-62,14
1206,5,-4,-9,0,7,-6,-3,-8,-22,9,-67,12
1207,3,-6,-9,1,6,-7,-2,-8,-25,6,-71,8
1208,1,-9,-10,4,5,-9,0,-9,-27,1,-74,6
1209,-1,-12,-11,6,5,-11,1,-11,-30,-2,-77,3
1210,-2,-15,-13,8,5,-14,1,-11,-32,-6,-79,1
1211,-3,-16,-13,9,5,-14,3,-12,-34,-8,-82,-1
1212,-4,-19,-15,11,5,-17,4,-12,-36,-11,-85,-2
1213,-5,-21,-16,13,5,-18,4,-12,-37,-13,-86,-4
1214,-7,-24,-17,15,5,-20,5,-13,-39,-16,-89,-5
1215,-8,-25,-17,16,4,-21,5,-13,-41,-18,-91,-7
1216,-8,-25,-17,16,4,-21,6,-14,-42,-19,-92,-9
1217,-9,-27,-18,18,4,-22,7,-14,-42,-21,-92,-9
1218,-9,-28,-19,18,5,-23,7,-13,-43,-22,-94,-11
1219,-10,-28,-18,19,4,-23,8,-14,-43,-24,-95,-12
1220,-12,-29,-17,20,2,-23,8,-14,-44,-25,-97,-14
1221,-12,-29,-17,20,2,-23,9,-13,-45,-26,-98,-15
1222,-13,-30,-17,21,2,-23,9,-13,-45,-26,-98,-16
1223,-13,-30,-17,21,2,-23,11,-12,-45,-27,-100,-16
1224,-13,-31,-18,22,2,-24,11,-13,-46,-27,-101,-17
1225,-14,-32,-18,23,2,-25,11,-12,-46,-28,-101,-19
1226,-14,-32,-18,23,2,-25,12,-13,-47,-29,-102,-19
1227,-15,-33,-18,24,1,-25,12,-13,-47,-28,-102,-20
1228,-15,-33,-18,24,1,-25,13,-12,-46,-28,-103,-20
1229,-15,-33,-18,24,1,-25,12,-12,-46,-29,-103,-21
1230,-15,-33,-18,24,1,-25,12,-11,-46,-28,-103,-21
1231,-15,-34,-19,24,2,-26,13,-11,-45,-29,-102,-22
1232,-16,-34,-18,25,1,-26,12,-11,-45,-29,-102,-22
1233,-16,-34,-18,25,1,-26,12,-10,-44,-28,-101,-21
1234,-16,-33,-17,24,0,-25,13,-10,-44,-28,-101,-22
1235,-15,-33,-18,24,1,-25,13,-9,-43,-27,-100,-22
1236,-15,-34,-19,24,2,-26,14,-8,-43,-27,-100,-23
1237,-16,-34,-18,25,1,-26,14,-8,-42,-27,-100,-22
1238,-16,-35,-19,25,1,-27,15,-7,-41,-26,-99,-22
1239,-17,-34,-17,25,0,-25,14,-7,-41,-26,-99,-21
1240,-16,-34,-18,25,1,-26,15,-6,-40,-26,-98,-22
1241,-15,-34,-19,24,2,-26,15,-6,-40,-25,-98,-22
1242,-15,-35,-20,25,2,-27,16,-5,-38,-25,-97,-21
1243,-15,-35,-20,25,2,-27,15,-5,-38,-24,-97,-21
1244,-15,-34,-19,24,2,-26,15,-5,-38,-23,-97,-21
1245,-15,-34,-19,24,2,-26,16,-5,-37,-24,-96,-21
1246,-14,-34,-20,24,3,-27,15,-5,-37,-24,-96,-21
1247,-14,-34,-20,24,3,-27,15,-4,-36,-23,-96,-20
1248,-13,-33,-20,23,3,-26,14,-4,-36,-23,-95,-20
1249,-13,-32,-19,22,3,-25,15,-5,-37,-22,-95,-21
1250,-14,-31,-17,22,1,-24,14,-4,-36,-22,-94,-21
1251,-13,-30,-17,21,2,-23,14,-4,-36,-23,-94,-22
1252,-13,-29,-16,21,1,-22,13,-5,-37,-23,-94,-22
1253,-14,-29,-15,21,0,-22,14,-5,-37,-22,-94,-21
1254,-13,-28,-15,20,1,-21,14,-5,-36,-22,-93,-21
1255,-13,-28,-15,20,1,-21,15,-4,-36,-21,-93,-22
1256,-14,-29,-15,21,0,-22,15,-4,-35,-21,-93,-21
1257,-14,-30,-16,22,1,-23,15,-5,-35,-21,-92,-21
1258,-14,-30,-16,22,1,-23,14,-4,-34,-20,-92,-22
1259,-13,-31,-18,22,2,-24,15,-4,-35,-20,-91,-21
1260,-13,-31,-18,22,2,-24,15,-5,-34,-19,-90,-21
1261,-14,-31,-17,22,1,-24,16,-4,-34,-19,-90,-20
1262,-14,-32,-18,23,2,-25,15,-4,-35,-20,-89,-19
1263,-14,-33,-19,23,2,-26,15,-5,-35,-20,-89,-20
1264,-14,-32,-18,23,2,-25,15,-5,-36,-20,-88,-19
1265,-13,-32,-19,22,3,-25,14,-6,-36,-21,-88,-19
1266,-14,-31,-17,22,1,-24,14,-6,-38,-21,-88,-20
1267,-14,-30,-16,22,1,-23,13,-6,-38,-22,-87,-19
1268,-13,-31,-18,22,2,-24,14,-7,-39,-21,-87,-19
1269,-13,-30,-17,21,2,-23,13,-7,-39,-22,-86,-18
1270,-12,-30,-18,21,3,-24,13,-7,-39,-22,-86,-19
1271,-12,-30,-18,21,3,-24,13,-8,-40,-23,-87,-18
1272,-13,-30,-17,21,2,-23,13,-8,-40,-23,-87,-18
1273,-13,-31,-18,22,2,-24,13,-9,-41,-23,-86,-17
1274,-12,-30,-18,21,3,-24,12,-9,-42,-24,-86,-18
1275,-12,-30,-18,21,3,-24,12,-11,-42,-24,-87,-18
1276,-13,-31,-18,22,2,-24,12,-11,-43,-25,-87,-19
1277,-14,-31,-17,22,1,-24,11,-12,-45,-27,-87,-19
1278,-14,-30,-16,22,1,-23,11,-12,-46,-27,-88,-20
1279,-14,-30,-16,22,1,-23,9,-14,-48,-29,-88,-21
1280,-14,-29,-15,21,0,-22,9,-15,-49,-30,-88,-21
1281,-14,-29,-15,21,0,-22,8,-15,-49,-30,-89,-22
1282,-14,-30,-16,22,1,-23,8,-16,-51,-31,-89,-22
1283,-14,-30,-16,22,1,-23,7,-16,-52,-31,-90,-21
1284,-13,-29,-16,21,1,-22,7,-17,-52,-32,-89,-21
1285,-13,-28,-15,20,1,-21,7,-18,-54,-33,-89,-22
1286,-14,-29,-15,21,0,-22,8,-18,-54,-33,-89,-22
1287,-13,-30,-17,21,2,-23,8,-18,-54,-33,-89,-21
1288,-13,-31,-18,22,2,-24,9,-18,-55,-34,-89,-21
1289,-12,-30,-18,21,3,-24,9,-19,-55,-35,-89,-21
1290,-12,-29,-17,20,2,-23,8,-20,-57,-35,-90,-22
1291,-13,-29,-16,21,1,-22,8,-20,-57,-36,-90,-22
1292,-13,-28,-15,20,1,-21,7,-21,-58,-36,-89,-21
1293,-12,-28,-16,20,2,-22,7,-21,-58,-37,-89,-22
1294,-12,-29,-17,20,2,-23,8,-22,-59,-38,-90,-22
1295,-13,-28,-15,20,1,-21,7,-22,-59,-38,-90,-23
1296,-13,-29,-16,21,1,-22,7,-23,-60,-39,-90,-23
1297,-14,-30,-16,22,1,-23,6,-23,-61,-40,-90,-24
1298,-13,-30,-17,21,2,-23,6,-22,-60,-39,-89,-24
1299,-13,-31,-18,22,2,-24,7,-23,-61,-40,-89,-23
1300,-14,-31,-17,22,1,-24,7,-23,-61,-40,-89,-24
1301,-14,-31,-17,22,1,-24,8,-24,-61,-41,-90,-24
1302,-14,-32,-18,23,2,-25,8,-23,-62,-40,-90,-23
1303,-15,-32,-17,23,1,-24,7,-24,-62,-40,-90,-23
1304,-15,-31,-16,23,0,-23,7,-24,-63,-41,-90,-24
1305,-16,-31,-15,23,0,-23,8,-25,-64,-41,-90,-24
1306,-16,-31,-15,23,0,-23,8,-25,-64,-41,-91,-23
1307,-16,-31,-15,23,0,-23,9,-26,-65,-42,-90,-23
1308,-17,-32,-15,24,-1,-23,9,-26,-64,-42,-89,-23
1309,-17,-32,-15,24,-1,-23,8,-27,-65,-42,-89,-23
1310,-16,-32,-16,24,0,-24,8,-26,-65,-42,-88,-23
1311,-16,-33,-17,24,0,-25,9,-27,-65,-41,-87,-22
1312,-16,-33,-17,24,0,-25,9,-27,-65,-41,-87,-22
1313,-15,-34,-19,24,2,-26,10,-26,-64,-40,-86,-21
1314,-15,-33,-18,24,1,-25,9,-27,-65,-41,-87,-22
1315,-14,-31,-17,22,1,-24,9,-27,-65,-41,-86,-22
1316,-14,-31,-17,22,1,-24,9,-28,-66,-42,-87,-23
1317,-15,-30,-15,22,0,-22,8,-27,-66,-41,-87,-22
1318,-15,-30,-15,22,0,-22,8,-28,-67,-41,-88,-22
1319,-16,-29,-13,22,-1,-21,7,-28,-67,-42,-88,-23
1320,-17,-29,-12,23,-2,-20,6,-29,-68,-42,-89,-23
1321,-17,-28,-11,22,-3,-19,6,-29,-68,-43,-89,-24
1322,-17,-29,-12,23,-2,-20,5,-29,-69,-42,-88,-24
1323,-17,-30,-13,23,-2,-21,5,-29,-68,-42,-88,-23
1324,-17,-31,-14,24,-1,-22,6,-29,-68,-41,-87,-24
1325,-17,-32,-15,24,-1,-23,5,-29,-67,-41,-86,-24
1326,-17,-32,-15,24,-1,-23,5,-29,-67,-41,-86,-23
1327,-17,-33,-16,25,0,-24,6,-29,-67,-40,-85,-23
1328,-17,-34,-17,25,0,-25,6,-28,-66,-40,-85,-22
1329,-16,-34,-18,25,1,-26,7,-28,-66,-39,-84,-22
1330,-16,-35,-19,25,1,-27,7,-28,-65,-38,-83,-23
1331,-16,-34,-18,25,1,-26,6,-28,-66,-38,-84,-23
1332,-16,-34,-18,25,1,-26,6,-28,-65,-38,-84,-23
1333,-16,-34,-18,25,1,-26,5,-28,-65,-37,-83,-22
1334,-16,-33,-17,24,0,-25,5,-28,-66,-37,-84,-23
1335,-16,-33,-17,24,0,-25,4,-28,-66,-37,-83,-23
1336,-17,-32,-15,24,-1,-23,5,-27,-65,-36,-83,-22
1337,-17,-32,-15,24,-1,-23,5,-27,-66,-36,-82,-22
1338,-16,-32,-16,24,0,-24,4,-28,-66,-36,-83,-21
1339,-17,-31,-14,24,-1,-22,4,-28,-66,-35,-82,-22
1340,-17,-30,-13,23,-2,-21,4,-28,-66,-35,-81,-21
1341,-16,-31,-15,23,0,-23,5,-27,-65,-35,-81,-21
1342,-16,-31,-15,23,0,-23,5,-27,-65,-34,-80,-20
1343,-15,-30,-15,22,0,-22,4,-27,-65,-34,-80,-20
1344,-15,-30,-15,22,0,-22,4,-28,-64,-33,-79,-21
1345,-15,-30,-15,22,0,-22,5,-28,-64,-33,-79,-21
1346,-14,-31,-17,22,1,-24,5,-29,-65,-33,-79,-21
1347,-14,-31,-17,22,1,-24,4,-28,-65,-34,-78,-21
1348,-14,-31,-17,22,1,-24,4,-29,-65,-34,-79,-22
1349,-15,-30,-15,22,0,-22,3,-29,-66,-35,-79,-22
1350,-15,-30,-15,22,0,-22,3,-30,-66,-35,-80,-23
1351,-14,-29,-15,21,0,-22,3,-31,-67,-34,-80,-22
1352,-14,-28,-14,21,0,-21,3,-30,-67,-35,-80,-22
1353,-15,-28,-13,21,-1,-20,2,-30,-66,-35,-79,-23
1354,-15,-27,-12,21,-1,-19,3,-31,-67,-35,-79,-22
1355,-16,-26,-10,21,-3,-18,4,-30,-67,-35,-78,-22
1356,-16,-26,-10,21,-3,-18,4,-30,-66,-34,-78,-21
1357,-15,-27,-12,21,-1,-19,5,-29,-66,-34,-78,-22
1358,-16,-27,-11,21,-2,-19,5,-30,-65,-33,-77,-22
1359,-16,-28,-12,22,-2,-20,6,-29,-65,-33,-77,-21
1360,-15,-28,-13,21,-1,-20,7,-29,-64,-32,-76,-21
1361,-15,-29,-14,22,0,-21,7,-29,-64,-31,-76,-21
1362,-14,-30,-16,22,1,-23,8,-29,-64,-31,-75,-22
1363,-14,-29,-15,21,0,-22,8,-30,-65,-31,-75,-22
1364,-14,-29,-15,21,0,-22,7,-29,-65,-31,-75,-21
1365,-13,-28,-15,20,1,-21,8,-29,-64,-30,-74,-21
1366,-13,-28,-15,20,1,-21,8,-30,-64,-30,-74,-20
1367,-13,-26,-13,19,0,-19,7,-29,-64,-30,-74,-21
1368,-13,-26,-13,19,0,-19,8,-29,-65,-31,-73,-21
1369,-13,-25,-12,19,0,-18,9,-30,-65,-31,-73,-20
1370,-13,-25,-12,19,0,-18,9,-29,-64,-30,-72,-20
1371,-13,-24,-11,18,-1,-17,10,-29,-64,-30,-71,-19
1372,-14,-25,-11,19,-1,-18,11,-28,-64,-30,-72,-19
1373,-14,-25,-11,19,-1,-18,11,-29,-64,-31,-72,-20
1374,-13,-26,-13,19,0,-19,12,-29,-63,-30,-71,-20
1375,-13,-27,-14,20,0,-20,12,-28,-63,-30,-71,-21
1376,-13,-27,-14,20,0,-20,12,-28,-64,-31,-71,-21
1377,-13,-27,-14,20,0,-20,13,-29,-64,-30,-71,-20
1378,-14,-26,-12,20,-1,-19,12,-29,-63,-30,-71,-21
1379,-14,-25,-11,19,-1,-18,13,-28,-64,-29,-70,-21
1380,-14,-25,-11,19,-1,-18,13,-28,-64,-30,-71,-21
1381,-13,-24,-11,18,-1,-17,14,-29,-63,-29,-70,-21
1382,-13,-22,-9,17,-2,-15,13,-29,-64,-29,-70,-20
1383,-12,-21,-9,16,-1,-15,13,-28,-64,-28,-69,-21
1384,-11,-20,-9,15,-1,-14,14,-29,-63,-29,-69,-21
1385,-11,-19,-8,15,-1,-13,14,-29,-63,-29,-69,-20
1386,-11,-19,-8,15,-1,-13,15,-28,-64,-28,-68,-20
1387,-10,-18,-8,14,-1,-13,16,-28,-63,-29,-68,-21
1388,-9,-19,-10,14,0,-14,17,-27,-63,-29,-67,-20
1389,-10,-20,-10,15,0,-15,19,-28,-62,-28,-67,-20
1390,-11,-20,-9,15,-1,-14,20,-28,-62,-28,-66,-19
1391,-11,-21,-10,16,0,-15,22,-27,-61,-29,-66,-20
1392,-11,-20,-9,15,-1,-14,23,-27,-61,-28,-65,-19
1393,-11,-20,-9,15,-1,-14,25,-28,-60,-28,-64,-19
1394,-11,-21,-10,16,0,-15,26,-27,-61,-27,-64,-18
1395,-12,-21,-9,16,-1,-15,28,-27,-60,-28,-63,-19
1396,-12,-22,-10,17,-1,-16,30,-27,-60,-28,-64,-18
1397,-13,-21,-8,17,-2,-14,31,-27,-60,-27,-63,-18
1398,-13,-21,-8,17,-2,-14,33,-28,-61,-27,-63,-19
1399,-12,-21,-9,16,-1,-15,36,-27,-60,-28,-63,-18
1400,-12,-21,-9,16,-1,-15,38,-26,-60,-27,-62,-18
1401,-12,-22,-10,17,-1,-16,41,-27,-59,-27,-62,-17
1402,-12,-21,-9,16,-1,-15,45,-27,-60,-28,-61,-17
1403,-12,-21,-9,16,-1,-15,48,-27,-59,-27,-62,-18
1404,-12,-20,-8,16,-2,-14,53,-27,-59,-27,-61,-18
1405,-12,-20,-8,16,-2,-14,60,-26,-60,-26,-61,-17
1406,-12,-21,-9,16,-1,-15,67,-26,-59,-27,-60,-17
1407,-12,-20,-8,16,-2,-14,74,-26,-59,-27,-60,-18
1408,-12,-20,-8,16,-2,-14,83,-26,-58,-26,-60,-18
1409,-12,-18,-6,15,-3,-12,91,-26,-59,-26,-59,-19
1410,-11,-18,-7,14,-2,-12,100,-25,-58,-25,-59,-19
1411,-11,-17,-6,14,-2,-11,107,-24,-58,-25,-58,-18
1412,-10,-17,-7,13,-1,-12,113,-24,-57,-24,-59,-18
1413,-9,-15,-6,12,-1,-10,118,-24,-58,-25,-58,-19
1414,-9,-15,-6,12,-1,-10,121,-23,-57,-25,-58,-19
1415,-8,-14,-6,11,-1,-10,124,-23,-57,-24,-57,-18
1416,-7,-13,-6,10,0,-9,124,-23,-56,-25,-57,-18
1417,-7,-11,-4,9,-1,-7,124,-23,-56,-24,-57,-17
1418,-6,-9,-3,7,-1,-6,123,-23,-56,-24,-55,-17
1419,-6,-8,-2,7,-2,-5,121,-22,-54,-23,-54,-16
1420,-5,-5,0,5,-2,-2,120,-22,-53,-21,-53,-15
1421,-5,-3,2,4,-3,0,118,-23,-52,-20,-52,-13
